airport,Airport Name,MinRWYlength,Taxi_In,Taxi_In fuel,taxi_in_seconds
EHAM,AMSTERDAM,11329.0,8.0871241173,97.05,485.22744703800004
EHAM,AMSTERDAM,10826.0,8.0871241173,97.05,485.22744703800004
EHAM,AMSTERDAM,11155.0,8.0871241173,97.05,485.22744703800004
EHAM,AMSTERDAM,12467.0,8.0871241173,97.05,485.22744703800004
EHBK,MAASTRICHT/MAASTRICHT AACHEN,9022.0,5.16,61.92,309.6
EHEH,EINDHOVEN,9843.0,6.0296942376,72.36,361.781654256
EHGG,,4922.0,4.0,48.0,240.0
EHGG,,8202.0,4.0,48.0,240.0
EHRD,ROTTERDAM,7218.0,4.1496598639,49.8,248.97959183400002
EHWO,,8015.0,4.0,48.0,240.0
EICK,CORK,4298.0,4.0863980292,49.04,245.183881752
EICK,CORK,6998.0,4.0863980292,49.04,245.183881752
EIDW,DUBLIN,10203.0,8.4321676213,101.19,505.930057278
EIDW,DUBLIN,8652.0,8.4321676213,101.19,505.930057278
EIDW,DUBLIN,4393.0,8.4321676213,101.19,505.930057278
EIDW,DUBLIN,6798.0,8.4321676213,101.19,505.930057278
EIKN,CONNAUGHT,7546.0,5.205801861,62.47,312.34811166000003
EIKY,KERRY/FARRANFORE,4035.0,3.7071984436,44.49,222.431906616
EIKY,KERRY/FARRANFORE,6562.0,3.7071984436,44.49,222.431906616
EINN,SHANNON,10495.0,4.605778811,55.27,276.34672866000005
EKAH,AARHUS/TIRSTRUP,9111.0,4.4378903539,53.25,266.273421234
EKAH,AARHUS/TIRSTRUP,8865.0,4.4378903539,53.25,266.273421234
EKBI,BILLUND,10172.0,4.5607752535,54.73,273.64651521
EKCH,COPENHAGEN/KASTRUP,11811.0,5.9096543146,70.92,354.579258876
EKCH,COPENHAGEN/KASTRUP,10827.0,5.9096543146,70.92,354.579258876
EKCH,COPENHAGEN/KASTRUP,9186.0,5.9096543146,70.92,354.579258876
EKRN,,6568.0,4.0,48.0,240.0
EKVG,VAGAR,5902.0,3.2532188841,39.04,195.19313304599999
EKYT,AALBORG,8707.0,4.681197479,56.17,280.87184873999996
EKYT,AALBORG,8363.0,4.681197479,56.17,280.87184873999996
ELLX,LUXEMBOURG,13130.0,4.438712668,53.26,266.32276008
ENAL,ALESUND/VIGRA,7592.0,2.7560728745,33.07,165.36437247
ENAN,ANDOYA/ANDENES,5486.0,2.8355263158,34.03,170.131578948
ENAN,ANDOYA/ANDENES,8097.0,2.8355263158,34.03,170.131578948
ENAT,ALTA,7165.0,2.7949162334,33.54,167.694974004
ENBL,FORDE/BRINGELAND,3084.0,1.9069767442,22.88,114.418604652
ENBN,BRONNOYSUND/BRONNOY,3937.0,1.8742565845,22.49,112.45539507000001
ENBO,BODO,11136.0,2.4401148482,29.28,146.406890892
ENBR,BERGEN/FLESLAND,9810.0,3.3767767424,40.52,202.60660454400002
ENBS,BATSFJORD,3281.0,2.04315197,24.52,122.58911819999999
ENBV,BERLEVAG,3372.0,1.9094922737,22.91,114.569536422
ENCN,KRISTIANSAND/KJEVIK,6660.0,3.2610201511,39.13,195.661209066
ENDU,BARDUFOSS,8015.0,3.765037594,45.18,225.90225564
ENEV,EVENES,9236.0,3.0224358974,36.27,181.34615384399999
ENFL,FLORO,4144.0,1.8502994012,22.2,111.017964072
ENGM,OSLO/GARDERMOEN,11811.0,4.5515465827,54.62,273.092794962
ENGM,OSLO/GARDERMOEN,9678.0,4.5515465827,54.62,273.092794962
ENHD,HAUGESUND/KARMOY,6957.0,2.8553251649,34.26,171.319509894
ENHF,HAMMERFEST,3061.0,2.9891940567,35.87,179.351643402
ENHK,HASVIK,3179.0,2.1307847082,25.57,127.84708249200001
ENHV,HONNINGSVAG/VALAN,2625.0,2.0592334495,24.71,123.55400697000002
ENKB,KRISTIANSUND/KV,7841.0,2.9261511729,35.11,175.569070374
ENKR,KIRKENES/HOYBUKTMOEN,6939.0,2.4671052632,29.61,148.02631579200002
ENLK,LEKNES,2881.0,2.0242522231,24.29,121.455133386
ENMH,MEHAMN,2887.0,1.7877813505,21.45,107.26688103
ENML,MOLDE,6922.0,2.5349794239,30.42,152.098765434
ENMS,MOSJOEN/KJAERSTAD,3015.0,1.9001040583,22.8,114.006243498
ENNM,NAMSOS,2749.0,2.498392283,29.98,149.90353697999998
ENOV,ORSTA-VOLDA/HOVDEN,3510.0,1.8909803922,22.69,113.458823532
ENRA,MO I RANA/ROSSVOLL,2759.0,1.9552715655,23.46,117.31629393
ENRM,RORVIK/RYUM,2887.0,2.038961039,24.47,122.33766234000001
ENRO,ROROS,5643.0,2.4759036145,29.71,148.55421687
ENRS,ROST,3386.0,1.4210526316,17.05,85.26315789600001
ENNA,,9147.0,4.0,48.0,240.0
ENSB,SVALBARD/LONGYEAR,7608.0,3.8232323232,45.88,229.393939392
ENSD,SANDANE/ANDA,3182.0,2.2965722802,27.56,137.79433681199998
ENSG,SOGNDAL/HAUKASEN,3150.0,2.3884018881,28.66,143.30411328600002
ENSH,SVOLVAER/HELLE,3104.0,1.7464905037,20.96,104.78943022200001
ENSK,STOKMARKNES/SKAGEN,3031.0,1.7696,21.24,106.176
ENSR,SORKJOSEN,3015.0,1.570212766,18.84,94.21276596
ENSS,VARDO/SVARTNES,3707.0,1.8100840336,21.72,108.605042016
ENST,SANDNESSJOEN/STOKKA,3563.0,1.9897377423,23.88,119.384264538
ENTC,TROMSO/LANGNES,7848.0,2.8173181917,33.81,169.03909150200002
ENTO,SANDEFJORD/TORP,9675.0,4.1178390138,49.41,247.070340828
ENVA,TRONDHEIM/VAERNES,9052.0,2.8526429634,34.23,171.158577804
ENVA,TRONDHEIM/VAERNES,1771.0,2.8526429634,34.23,171.158577804
ENVA,TRONDHEIM/VAERNES,1117.0,2.8526429634,34.23,171.158577804
ENVD,VADSO,3278.0,2.4225271584,29.07,145.351629504
ENZV,STAVANGER/SOLA,8035.0,3.6821985378,44.19,220.93191226800002
ENZV,STAVANGER/SOLA,9369.0,3.6821985378,44.19,220.93191226800002
EPBY,BYDGOSZCZ,8202.0,4.8558139535,58.27,291.34883721
EPGD,GDANSK/REBIECHOWO,9186.0,4.4588866655,53.51,267.53319992999997
EPKK,KRAKOW/BALICE,8366.0,6.3915632443,76.7,383.493794658
EPKT,KATOWICE/PYRZOWICE,10499.0,5.2775078594,63.33,316.650471564
EPLB,LUBLIN,8268.0,3.8006329114,45.61,228.037974684
EPLL,LODZ/LUBLINEK,8202.0,5.2594339623,63.11,315.56603773800003
EPLL,LODZ/LUBLINEK,2296.0,5.2594339623,63.11,315.56603773800003
EPMO,MODLIN WARSAW,8202.0,4.8287001087,57.94,289.72200652199996
EPPO,POZNAN/LAWICA,2296.0,4.6150618375,55.38,276.90371025
EPPO,POZNAN/LAWICA,8215.0,4.6150618375,55.38,276.90371025
EPRZ,RZESZOW/JASIONKA,2448.0,4.3326435592,51.99,259.95861355200003
EPRZ,RZESZOW/JASIONKA,2953.0,4.3326435592,51.99,259.95861355200003
EPRZ,RZESZOW/JASIONKA,10498.0,4.3326435592,51.99,259.95861355200003
EPRZ,RZESZOW/JASIONKA,6840.0,4.3326435592,51.99,259.95861355200003
EPSC,SZCZECIN/GOLENIOW,8202.0,4.409052808,52.91,264.54316848
EPSY,MAZURY,8202.0,3.9925187032,47.91,239.551122192
EPWA,WARSAW/OKECIE,9186.0,4.5783219487,54.94,274.69931692200004
EPWA,WARSAW/OKECIE,12106.0,4.5783219487,54.94,274.69931692200004
EPWR,WROCLAW/STRACHOWICE,8212.0,4.498854787,53.99,269.93128722
EPZG,ZIELONA GORA/BABIMOST,8202.0,4.1484716157,49.78,248.908296942
ESDF,,7648.0,4.0,48.0,240.0
ESGG,GOTENBORG/LANDVETTER,10823.0,4.5951409824,55.14,275.70845894400003
ESKN,STOCKHOLM/SKAVSTA,9442.0,6.1083860759,73.3,366.503164554
ESKN,STOCKHOLM/SKAVSTA,6690.0,6.1083860759,73.3,366.503164554
ESKS,,8202.0,4.0,48.0,240.0
ESMQ,KALMAR,2179.0,2.8495297806,34.19,170.971786836
ESMQ,KALMAR,6726.0,2.8495297806,34.19,170.971786836
ESMS,MALMOE/STURUP,2615.0,5.1391708968,61.67,308.350253808
ESMS,MALMOE/STURUP,9186.0,5.1391708968,61.67,308.350253808
ESMX,VAXJO-KRONOBERG,6900.0,5.0023640662,60.03,300.141843972
ESNN,SUNDSVALL-HÄRNÖSAND,6857.0,2.8791540785,34.55,172.74924471
ESNQ,KIRUNA,8209.0,3.4017660044,40.82,204.105960264
ESNS,SKELLEFTEA,8268.0,3.2039072039,38.45,192.234432234
ESNU,UMEA,7551.0,3.1431226766,37.72,188.587360596
ESNX,,8201.0,4.0,48.0,240.0
ESNZ,OSTERSUND,8202.0,3.4044117647,40.85,204.264705882
ESNZ,OSTERSUND,4034.0,3.4044117647,40.85,204.264705882
ESOE,OREBRO,10728.0,4.4311926606,53.17,265.871559636
ESOW,STOCKHOLM/VASTERAS,8468.0,4.7876106195,57.45,287.25663717
ESPA,LULEA/KALLAX,10990.0,3.7442622951,44.93,224.655737706
ESSA,STOCKHOLM/ARLANDA,10830.0,5.7779101719,69.33,346.674610314
ESSA,STOCKHOLM/ARLANDA,8201.0,5.7779101719,69.33,346.674610314
ESSA,STOCKHOLM/ARLANDA,8202.0,5.7779101719,69.33,346.674610314
ESSB,STOCKHOLM-BROMMA,5472.0,5.7080979284,68.5,342.485875704
ESSL,LINKOPING/MALMEN,7004.0,3.1507246377,37.81,189.043478262
ESSP,,7228.0,4.0,48.0,240.0
ESSP,,1948.0,4.0,48.0,240.0
ESSV,VISBY,6562.0,2.6851851852,32.22,161.111111112
ESSV,VISBY,3611.0,2.6851851852,32.22,161.111111112
ESTA,,613.0,4.0,48.0,240.0
ESTA,,6381.0,4.0,48.0,240.0
ETNG,,10009.0,4.0,48.0,240.0
EVRA,RIGA INTL,10499.0,4.0073667292,48.09,240.442003752
EYKA,KAUNAS INTL,10663.0,4.985672145,59.83,299.1403287
EYPA,PALANGA INTL,7480.0,4.8093264249,57.71,288.559585494
EYVI,VILNIUS INTL,8251.0,4.950136612,59.4,297.00819672
FACT,CAPE TOWN,10502.0,6.3382663848,76.06,380.295983088
FACT,CAPE TOWN,5581.0,6.3382663848,76.06,380.295983088
FAOR,JOHANNESBURG/O.R. TAMBO INTERNATINAL,14495.0,8.3964041096,100.76,503.78424657600004
FAOR,JOHANNESBURG/O.R. TAMBO INTERNATINAL,11155.0,8.3964041096,100.76,503.78424657600004
FCPP,,8530.0,4.0,48.0,240.0
FIMP,MAURITIUS PLAISANCE,11056.0,7.3057324841,87.67,438.343949046
FKKD,DOUALA,9350.0,6.0641330166,72.77,363.847980996
FKYS,YAOUNDE/NSIMALEN,11155.0,5.6206896552,67.45,337.241379312
FMEE,REUNION ISLAND INTL/,10499.0,5.9375,71.25,356.25
FMEE,REUNION ISLAND INTL/,8760.0,5.9375,71.25,356.25
"FNLU,""LUANDA, ANGOLA"",12190.0,10.9014675052,130.82,654.088050312",,,,,
"FNLU,""LUANDA, ANGOLA"",8530.0,10.9014675052,130.82,654.088050312",,,,,
FOOL,LIBREVILLE,9844.0,6.512195122,78.15,390.73170732
FZAA,KINSHASA/N'DJILI INT,13123.0,6.632183908,79.59,397.93103448
GABS,BAMAKO VILLE,10498.0,7.3194888179,87.83,439.169329074
GBYD,BANJUL,11811.0,4.4805194805,53.77,268.83116883
GCFV,FUERTEVENTURA,11598.0,4.1831119545,50.2,250.98671727
GCGM,LA GOMERA,4921.0,3.6686390533,44.02,220.11834319800002
GCHI,HIERRO,4101.0,3.1550733886,37.86,189.304403316
GCLA,LA PALMA,7218.0,3.6255725191,43.51,217.534351146
